nome,rating,genero,tipo,price_com_taxa,price_sem_taxa,taxa,estoque,imagem
A Light in the Attic,Three,Poetry,Books,£51.77,£51.77,£0.00,In stock (22 available),https://books.toscrape.com//media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg
Tipping the Velvet,One,Historical Fiction,Books,£53.74,£53.74,£0.00,In stock (20 available),https://books.toscrape.com//media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg
Soumission,One,Fiction,Books,£50.10,£50.10,£0.00,In stock (20 available),https://books.toscrape.com//media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg
Sharp Objects,Four,Mystery,Books,£47.82,£47.82,£0.00,In stock (20 available),https://books.toscrape.com//media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg
Sapiens: A Brief History of Humankind,Five,History,Books,£54.23,£54.23,£0.00,In stock (20 available),https://books.toscrape.com//media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg
The Requiem Red,One,Young Adult,Books,£22.65,£22.65,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg
The Dirty Little Secrets of Getting Your Dream Job,Four,Business,Books,£33.34,£33.34,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,Default,Books,£17.93,£17.93,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,Default,Books,£22.60,£22.60,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg
The Black Maria,One,Poetry,Books,£52.15,£52.15,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",Two,Default,Books,£13.99,£13.99,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg
Shakespeare's Sonnets,Four,Poetry,Books,£20.66,£20.66,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg
Set Me Free,Five,Young Adult,Books,£17.46,£17.46,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,Sequential Art,Books,£52.29,£52.29,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg
Rip it Up and Start Again,Five,Music,Books,£35.02,£35.02,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,Music,Books,£57.25,£57.25,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg
Olio,One,Poetry,Books,£23.88,£23.88,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,One,Science Fiction,Books,£37.59,£37.59,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg
Libertarianism for Beginners,Two,Politics,Books,£51.33,£51.33,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg
It's Only the Himalayas,Two,Travel,Books,£45.17,£45.17,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg
In Her Wake,One,Thriller,Books,£12.84,£12.84,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/27/92/2792ef951651ff1eae40a410cac41e0f.jpg
How Music Works,Two,Music,Books,£37.32,£37.32,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/1d/40/1d4087ff0a63f09fae9cd8433d21c2c4.jpg
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,Food and Drink,Books,£30.52,£30.52,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/9f/58/9f58d3ff6d58589eaf325b1a33c303a0.jpg
Chase Me (Paris Nights #2),Five,Romance,Books,£25.27,£25.27,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/6c/84/6c84fcf7a53b02b6e763de7272934842.jpg
Black Dust,Five,Romance,Books,£34.53,£34.53,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/a4/0a/a40af95beab828af1a4757ad1ee17da3.jpg
Birdsong: A Story in Pictures,Three,Childrens,Books,£54.64,£54.64,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/af/2f/af2fe2419ea136f2cd567aa92082c3ae.jpg
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,Default,Books,£22.50,£22.50,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/a3/2a/a32ab3b8c024c6c2b274a86b185e7585.jpg
Aladdin and His Wonderful Lamp,Three,Default,Books,£53.13,£53.13,£0.00,In stock (19 available),https://books.toscrape.com//media/cache/a8/3c/a83c460fab82f35a37c0846729485547.jpg
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Five,Nonfiction,Books,£40.30,£40.30,£0.00,In stock (18 available),https://books.toscrape.com//media/cache/7b/d9/7bd93db091d736d0c6ff9d578e3ba3d7.jpg
Wall and Piece,Four,Art,Books,£44.18,£44.18,£0.00,In stock (18 available),https://books.toscrape.com//media/cache/df/34/df346322ddfdd3b4da0e34cad17f49dc.jpg
The Four Agreements: A Practical Guide to Personal Freedom,Five,Spirituality,Books,£17.66,£17.66,£0.00,In stock (18 available),https://books.toscrape.com//media/cache/2b/1b/2b1bfecae9d512cb6ee943ccf786216f.jpg
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,Nonfiction,Books,£31.05,£31.05,£0.00,In stock (18 available),https://books.toscrape.com//media/cache/7c/10/7c10101fe1759c5a17ba57e4bef9e764.jpg
The Elephant Tree,Five,Thriller,Books,£23.82,£23.82,£0.00,In stock (18 available),https://books.toscrape.com//media/cache/4b/80/4b80a3d9148e224ed4d6cd4d33f43728.jpg
The Bear and the Piano,One,Childrens,Books,£36.89,£36.89,£0.00,In stock (18 available),https://books.toscrape.com//media/cache/d0/87/d0876dcd1a6530a4cb54903aad7a3e28.jpg
Sophie's World,Five,Philosophy,Books,£15.94,£15.94,£0.00,In stock (18 available),https://books.toscrape.com//media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg
Penny Maybe,Three,Default,Books,£33.29,£33.29,£0.00,In stock (18 available),https://books.toscrape.com//media/cache/b1/4b/b14be641ab97a330891455a769d52fd3.jpg
Maude (1883-1993):She Grew Up with the country,Two,Default,Books,£18.02,£18.02,£0.00,In stock (18 available),https://books.toscrape.com//media/cache/65/bf/65bfa3acc93b0e558a1c3de1b1164742.jpg
"In a Dark, Dark Wood",One,Mystery,Books,£19.63,£19.63,£0.00,In stock (18 available),https://books.toscrape.com//media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg
Behind Closed Doors,Four,Thriller,Books,£52.22,£52.22,£0.00,In stock (18 available),https://books.toscrape.com//media/cache/a5/85/a58571db229f2e8f75ea38861eca7f39.jpg
You can't bury them all: Poems,Two,Poetry,Books,£33.63,£33.63,£0.00,In stock (17 available),https://books.toscrape.com//media/cache/b7/44/b7440aa88046b0bf8cba50d59295518e.jpg
Slow States of Collapse: Poems,Three,Poetry,Books,£57.31,£57.31,£0.00,In stock (17 available),https://books.toscrape.com//media/cache/db/ac/dbac3faca8a799824f5725d66c0fcce3.jpg
Reasons to Stay Alive,Two,Nonfiction,Books,£26.41,£26.41,£0.00,In stock (17 available),https://books.toscrape.com//media/cache/f5/3c/f53c7d21723c860cfbca2b539bc55b8f.jpg
Private Paris (Private #10),Five,Fiction,Books,£47.61,£47.61,£0.00,In stock (17 available),https://books.toscrape.com//media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,Nonfiction,Books,£23.11,£23.11,£0.00,In stock (17 available),https://books.toscrape.com//media/cache/71/45/71451e3bba61a8d888a4a2c6526a4bcf.jpg
Without Borders (Wanderlove #1),Two,New Adult,Books,£45.07,£45.07,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/de/26/de269ee688d4dc51846567f3942600ce.jpg
When We Collided,One,Contemporary,Books,£31.77,£31.77,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/17/db/17db3de71e8217d4277a9328b04f56cf.jpg
